40.689247,-74.044502
36.106973,-112.112997
44.4280,-110.5885
28.3852,-81.5639
37.8199,-122.4783
43.8791,-103.4591
43.0812,-79.0736
35.6554,-83.4301
37.8651,-119.5383
29.4252,-98.4861
46.8523,-121.7603
37.2982,-113.0263
40.3428,-105.6836
34.1014,-118.3415
38.8977,-77.0365
40.7580,-73.9855
34.0551,-118.2497
40.7851,-73.9683
35.0456,-90.0227
47.6205,-122.3493
34.1381,-118.3534
24.5552,-81.7832
37.5930,-112.1871
43.7904,-110.6818
38.7095,-77.0868
45.9217,-110.5665
42.3553,-71.0655
39.9480,-75.1503
34.0780,-118.4740
20.6843,-88.5678
29.9590,-90.0651
36.1699,-115.1398
38.8886,-77.0199
46.1912,-122.1944
44.4279,-110.5884
63.0695,-151.0070
36.0151,-114.7375
33.8121,-117.9190
38.6247,-90.1848
20.7204,-156.1552
40.7608,-112.1861
32.1479,-104.5567
28.5721,-80.6480
38.8895,-77.0353
63.1148,-151.1925
41.5083,-81.6955
43.9436,-78.8906
43.9456,-78.8968
43.6537,-79.3925
43.6677,-79.3947
